"cod","desc_assunto","fk_cnj_assunto"
1,"DIREITO",NULL
3605,"Crimes contra a Economia Popular",3603
3611,"Crimes contra a Segurança Nacional, a Ordem Política e Social",3603
5983,"CNPJ/Cadastro Nacional de Pessoas Jurídicas",5978
6050,"Servidores Inativos",6048
6064,"Custeio de Assistência Médica",6048
6065,"Hora Extra",6048
7780,"Indenização por Dano Material",6220
7792,"Pena de Multa",7942
8843,"Assistência Judiciária Gratuita",8842
8888,"Dos Auxiliares da Justiça",8883
8939," Suspensão do Processo",8938
9026,"Vícios Formais da Sentença",8960
9419,"Execução Previdenciária",9148
9493,"Capacidade Processual",8842
9518,"Efeito Suspensivo / Impugnação / Embargos à Execução",9148
10009,"Inquérito / Processo / Recurso Administrativo",9997
10198,"Aposentadoria",10194
10200,"Remoção",10194
10208,"Afastamento do Cargo",10207
10209,"Remuneração",10207
10210,"Recondução",10207
10230,"Regime Previdenciário",10220
10249,"Salário-Família",10288
10539,"Capacidade Tributária",5978
10540,"Competência Tributária",5913
10543,"Depósito Judicial",5987
10653,"Competência da Justiça Federal",8829
10654,"Competência da Justiça Estadual",8829
10655,"Honorários Advocatícios",8874
10656,"Honorários Advocatícios em Execução Contra a Fazenda Pública",8874
10668,"Fac-símile",9060
10676,"Imissão na Posse",10670
10688,"Medidas Socioeducativas",9633
10706,"Gratificações Municipais Específicas",10288
10863,"Ausência de Legitimidade para propositura de Ação Civil Pública",10736
10874,"Não Cumulatividade",6039
10891,"Habeas Corpus - Cabimento",11703
10904,"Prisão Domiciliar / Especial",1209
10906,"Regressão de Regime",7791
10938,"Citação",8893
14120,"Subempreitada",14034
11070,"Crime em tempo de guerra",11068
11083,"Excludentes",11080
11090,"Princípio da Insignificância",11088
11134,"Omissão de Oficial",11117
11135,"Abandono de posto",11116
11148,"Receptação",11078
11168,"Dano atenuado",11145
11178,"Contra a Saúde",11077
11230,"Ultraje Público ao Pudor",11075
11243,"Homicídio",11227
11288,"Conspiração",11271
11301,"Aliciação para motim ou revolta",11268
11335,"Usurpação de função",11311
11346,"Prevaricação",11310
11369,"Favorecimento real",11072
11414,"Crime/contravenção decorrente de conflito fundiário coletivo",287
11572,"Minuta de Resolução",11557
11803,"CONSELHOS",9985
11883,"Tratamento Médico-Hospitalar",10064
11895,"Crimes Previstos no Estatuto do Torcedor",3603
11896,"Previstos no Estatuto do Torcedor",9847
11937,"Desvio de Função",10220
11972,"Desastre ferroviário culposo",3491
11984,"Medidas Protetivas",10912
11990,"Usucapião de bem móvel",10455
11993,"Internação Compulsória",11854
12042,"Análise de Crédito",7779
12044,"Registro de Candidatura - DRAP Partido/Coligação",11615
12063,"Conduta Vedada ao Agente Público",11716
12069,"Prestação de Contas - de Partido Político",11747
12159,"Registro de Ocorrência pela PM",1209
12238,"Remoção",12235
12335,"Crimes ocorridos na investigação da prova",12333
12343,"Fabrico, comércio ou detenção de arma branca ou munição",3692
12419,"Provas em geral",8990
12420,"Tempestividade",9060
12634,"Apropriação Indébita Eleitoral",11467
12640,"Arquivamento de Procedimento Investigatório Criminal - PIC-MP",10604
12730,"Acordo de Não Persecução Penal",7942
12756,"Interesses ou Direitos Difusos",12755
12770,"Obras Públicas",10421
12795,"Acesso",12775
12796,"Educação Especial",12775
12920,"Residência Médica",12797
12985,"Erro de Fato ",12933
12993,"Hipoteca Judiciária ",9148
13024,"Preclusão / Coisa Julgada ",9148
13050,"Acordo Homologado/Efeitos ",13001
13053,"Adjudicação ",9180
13062,"Anotação na CTPS ",10686
13067,"Arrematação ",9180
13091,"Chamamento ao Processo ",8859
13101,"Competência Territorial ",12946
13186,"Horas Extras ",10287
13207,"Interpretação e Alcance do Título Executivo ",13015
13209,"Intervalo ",10287
13234,"Nomeação à Autoria ",8859
13295,"Revisão ",10250
13310,"Temas repetitivos / Repercussão Geral ",8939
13311,"Terceiro Juridicamente Interessado ",13005
13379,"Comprovação de Saldo Bancário ",13081
13468,"Jus Postulandi ",13287
13469,"Justificada Ausência de Numerário ",13081
13470,"Levantamento do Depósito Recursal ",13265
13601,"Fase de Execução ",13028
13602,"Inexigibilidade / Isenção ",12972
13610,"Rescisória de Rescisória ",12957
14080,"Artigo 896, § 1º - A, CLT",14078
14081,"Decisão Interlocutória",9098
14082,"Transcedência",9098
14672,"Apadrinhamento Afetivo",12341
14673,"Apadrinhamento Material",12341
14067,"Legitimidade Ativa e Passiva",12963
14697,"Racismo",3603
14068,"Exceção de Incompetência Territorial",8828
14784,"Pesca Ilegal",3619
14795,"Mineração Ilegal",3621
14806,"Adicional de 25%",6101
14811,"Rural Pensão por Morte Art. 74/9",6104
13426,"Estabilidade Provisória ",13179
14850,"Desistência do Recurso",14849
14911,"Acidente Ferroviário",14162
14912,"Cessão de Créditos",10672
14913,"Cadastro de Indadimplentes - CADIN",10394
14914,"Contrato Administrativo",10395
14915,"Despejo por Inadimplemento",9593
14940,"Intempestividade",11615
14943,"Lesão Cometida em Razão da Condição de Mulher",3385
15019,"Autuação e Processamento",11557
15040,"Busca e Apreensão",15033
15068,"Retificação de Outros Dados",7725
13663,"Marítimos",13641
13664,"Médicos",13641
